ترم ارائه درس,دانشكده درس,دانشكده درس,گروه آموزشي درس,گروه آموزشي درس,شماره و گروه درس,نام درس,كل,ع,ظر فيت,ثبت نام شده,تعداد ليست انتظار,جنس,نام استاد,زمان و مكان ارائه,زمان و مكان امتحان,محدوديت اخذ,مخصوص ورودي,دروس اجبار/متضاد,نحوه ارائه درس,دوره درس,امكان حذف اضطراري,امكان اخذ توسط مهمان,توضيحات
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211037_02,آزمايشگاه سيستمهاي كنترل خطي,1,1,12,11,0,مختلط,مختاري دزكي سينا,درس(ع): شنبه      09:00-11:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه سيستم كنترل خطي,تاريخ: 1402/03/17  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211037_03,آزمايشگاه سيستمهاي كنترل خطي,1,1,12,12,0,مختلط,مختاري دزكي سينا,درس(ع): شنبه      11:00-13:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه سيستم كنترل خطي,تاريخ: 1402/03/17  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211037_04,آزمايشگاه سيستمهاي كنترل خطي,1,1,12,12,0,مختلط,مختاري دزكي سينا,درس(ع): شنبه      13:00-15:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه سيستم كنترل خطي,تاريخ: 1402/03/17  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211037_05,آزمايشگاه سيستمهاي كنترل خطي,1,1,12,11,0,مختلط,مختاري دزكي سينا,درس(ع): شنبه      15:00-17:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه سيستم كنترل خطي,تاريخ: 1402/03/17  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211037_06,آزمايشگاه سيستمهاي كنترل خطي,1,1,12,6,0,مختلط,مختاري دزكي سينا,درس(ع): يك شنبه   07:00-09:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه سيستم كنترل خطي,تاريخ: 1402/03/17  ساعت: 10:30-12:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211042_01,فيزيك الكترونيك,3,0,40,28,0,مختلط,كرمي محمدعظيم,درس(ت): يك شنبه   16:30-18:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 206، درس(ت): سه شنبه   16:30-18:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 206,تاريخ: 1402/03/23  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211043_01,الكترونيك 3,3,0,30,29,0,مختلط,ياوند حسني جواد,درس(ت): يك شنبه   07:30-09:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 214، درس(ت): سه شنبه   07:30-09:00 مکان: دانشكده برق (شهيد چمران) كلاس شماره 214,تاريخ: 1402/03/24  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211043_02,الكترونيك 3,3,0,30,31,0,مختلط,ابريشمي فر سيد اديب,درس(ت): يك شنبه   09:00-10:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 214، درس(ت): سه شنبه   09:00-10:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 214,تاريخ: 1402/03/24  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211044_01,آزمايشگاه الكترونيك 3,1,1,12,8,0,مختلط,حبيبي دهكا ژاله,درس(ع): يك شنبه   13:00-15:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه الترونيك 2 و 3,تاريخ: 1402/03/17  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211045_01,تكنيك پالس,3,0,41,41,0,مختلط,آيت اللهي احمد,درس(ت): شنبه      09:00-10:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 212، درس(ت): دوشنبه    09:00-10:30 مکان: دانشكده برق (شهيد چمران) كلاس شماره 212,تاريخ: 1402/04/04  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,بله,بله,
